Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Saciragic, Lana",,,,,9,33,26,46
2024_q1,,Brain Surgery  (Adult),,Total,Provincial,2024,1,42,338,44,160
3month_rolling,,Hernia Repair  (Adult),,Zone 1,Yarmouth Regional,2025,1,68,98,63,112
2024_q4,,Male Reproductive System Surgery,,Zone 1,Valley Regional,2024,4,,,160,233
2023_q1,,Dental Extractions and Restorations  (Adult),,Zone 1,South Shore Regional,2023,1,,,374,397
12month_rolling,,Shoulder Arthroplasty,,Zone 2,Aberdeen Hospital,2025,1,92,212,178,231
2024_q3,,Craniotomy or Craniectomy,,Total,Provincial,2024,3,,,91,339
2024_q2,,Breast Reduction Surgery,,Zone 3,St. Martha's Regional,2024,2,90,191,,
3month_rolling,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,Glace Bay,2025,1,,,210,301
2023_q2,,Cornea and External Disease,,Total,Provincial,2023,2,84,251,92,409
12month_rolling,,Hernia Repair - Umbilical,,Zone 2,Cumberland Regional,2025,1,54,106,56,109
12month_rolling,General Surgery,All,"Sytnik, Peter",,,,,9,23,25,50
2024_q2,,Septoplasty,,Total,Provincial,2024,2,101,736,86,382
12month_rolling,Urology,All,"Paterson, Nicholas",,,,,45,97,76,155
2023_q4,,Colorectal Cancer Surgery,,Zone 4,QE2,2023,4,23,111,25,51
3month_rolling,,Cataract Surgery,,Zone 1,Yarmouth Regional,2025,1,279,354,57,80
12month_rolling,General Surgery,Nissen Fundoplication - Laparoscopic,"Ellsmere, James C",,,,,62,116,323,407
2024_q4,,Male Circumcision  (Pediatric),,Total,Provincial,2024,4,,,132,680
2024_q2,,Hernia Repair - Inguinal/Femoral,,Total,Provincial,2024,2,50,346,73,213
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Wasilewski, Leszek J",,,,,791,"1,251",53,69
2023_q3,,Knee Scope with ACL Repair,,Zone 4,QE2,2023,3,62,200,119,271
3month_rolling,,Hernia Repair - Incisional,,Zone 4,Dartmouth General,2025,1,91,125,94,417
12month_rolling,General Surgery,Amputations,"Archibald, Alison",,,,,3,21,9,28
2023_q3,,Functional Endoscopic Sinus Surgery (FESS),,Zone 4,Dartmouth General,2023,3,27,85,71,142
2024_q1,,Knee Replacement,,Zone 4,Dartmouth General,2024,1,295,467,229,463
2025_q1,,Vitreoretinal Diseases,,Zone 4,QE2,2025,1,36,118,22,71
2023_q4,,Spinal Cord Stimulation Surgery,,Zone 4,QE2,2023,4,,,109,184
2024_q4,,Video-Assisted Thoracic Surgery,,Zone 4,QE2,2024,4,23,55,24,65
2024_q2,,Hysteroscopy,,Zone 4,Dartmouth General,2024,2,48,211,51,101
2024_q1,,Hysteroscopy,,Zone 1,Valley Regional,2024,1,60,"2,190",76,167
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Pediatric),"Corsten, P Gerard",,,,,67,321,96,174
2023_q4,,Kidney Stone Surgery,,Zone 1,Valley Regional,2023,4,,,50,212
2024_q1,,Back Surgery  (Pediatric),,Total,Provincial,2024,1,,,314,539
3month_rolling,,Back Surgery  (Adult),,IWK,IWK,2025,1,,,562,712
12month_rolling,,Tendon / Ligament Repair,,Zone 4,Dartmouth General,2025,1,165,262,32,40
2023_q2,,Ear Tubes  (Pediatric),,IWK,IWK,2023,2,111,169,76,123
2023_q4,,Brain Surgery  (Pediatric),,Total,Provincial,2023,4,,,39,44
2025_q1,,Insertion Vascular Access Catheter,,Zone 1,Yarmouth Regional,2025,1,,,15,27
2024_q2,,Kidney Removal,,Zone 4,QE2,2024,2,11,25,56,185
2025_q1,,Breast Cancer Surgery,,Total,Provincial,2025,1,13,24,27,54
2024_q1,,Hernia Repair - Inguinal/Femoral,,Zone 4,Dartmouth General,2024,1,112,382,104,239
2025_q1,,Craniotomy or Craniectomy,,Zone 4,QE2,2025,1,,,95,153
12month_rolling,,Hernia Repair - Ventral,,Total,Provincial,2025,1,83,556,109,357
2023_q1,,Prostate Surgery,,Total,Provincial,2023,1,42,136,78,374
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 2,Colchester East Hants Health Centre,2025,1,46,89,111,222
3month_rolling,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2025,1,112,295,79,287
2024_q4,,Sinus Surgery,,Total,Provincial,2024,4,168,621,68,133
2024_q1,,Hernia Repair  (Adult),,Zone 2,Aberdeen Hospital,2024,1,244,703,46,86
12month_rolling,Dental,All,"Briand, Beth",,,,,29,102,85,183
2025_q1,,Lung Cancer Surgery,,Zone 4,QE2,2025,1,27,81,29,60
2023_q3,,Bowel Resection,,Zone 1,Valley Regional,2023,3,14,383,29,51
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Walsh, Mark J",,,,,10,24,44,84
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Rudd, Michael W",,,,,677,766,271,350
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Kavanagh, Rhys",,,,,31,80,27,35
2023_q1,,Lymph Node Biopsy,,Zone 4,QE2,2023,1,10,19,35,55
2023_q2,,Hip Replacement,,Total,Provincial,2023,2,127,436,176,608
12month_rolling,Dental,Dental Extractions and Restorations  (Adult),"Doyle, Tracy",,,,,,,787,"1,113"
2024_q2,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2024,2,12,29,29,200
2024_q1,,Thyroid or Parathyroid Surgery,,Zone 4,QE2,2024,1,54,99,117,"1,030"
2024_q3,,Lung Cancer Surgery,,Zone 4,QE2,2024,3,26,73,39,88
2024_q1,,Bowel Resection - Laparoscopic,,Zone 4,QE2,2024,1,37,128,35,66
2023_q2,,Nose Surgery - Reconstructive or Aesthetic,,Total,Provincial,2023,2,102,195,27,62
2023_q3,,Knee Replacement,,Total,Provincial,2023,3,171,518,207,605
2023_q1,,Hysteroscopy,,Zone 1,South Shore Regional,2023,1,27,296,49,94
2023_q4,,Pancreas Surgery,,Total,Provincial,2023,4,15,21,30,69
2025_q1,,Dental Extractions and Restorations  (Pediatric),,Total,Provincial,2025,1,62,381,118,491
2024_q1,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 1,Valley Regional,2024,1,70,416,182,371
2024_q3,,Brain Surgery  (Pediatric),,IWK,IWK,2024,3,,,72,123
12month_rolling,,Hernia Repair - Laparoscopic Ventral,,Zone 1,Yarmouth Regional,2025,1,,,130,158
12month_rolling,Obstetrics/Gynaecology,All,"Nair, Cynthia",,,,,26,59,26,60
2024_q1,,Cardiovascular Surgery,,Total,Provincial,2024,1,,,7,54
2024_q3,,Knee Replacement,,Zone 3,Cape Breton Regional,2024,3,155,210,113,202
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Enright, Jonathan Boyde",,,,,11,27,29,45
12month_rolling,Orthopaedic,Shoulder Arthroscopy,"El-Tahan, Tahmir H.",,,,,166,406,121,218
3month_rolling,,Septoplasty,,Total,Provincial,2025,1,103,490,118,427
12month_rolling,Thoracic Surgery,Esophagectomy / Esophageal Surgery,"Mujoomdar, Aneil Arvind",,,,,13,22,27,34
2025_q1,,Colorectal Cancer Surgery,,Zone 4,Dartmouth General,2025,1,18,79,34,87
2023_q3,,Male Reproductive System Surgery,,Zone 2,Colchester East Hants Health Centre,2023,3,113,204,53,692
2024_q4,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),,Total,Provincial,2024,4,13,37,36,55
2023_q3,,Shoulder Arthroscopy,,Zone 3,Cape Breton Regional,2023,3,142,202,56,81
2023_q3,,Wound Management,,Total,Provincial,2023,3,,,13,64
2023_q1,,Gastric Surgery - Laparoscopic,,Total,Provincial,2023,1,49,219,94,300
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Nee, Brigid",,,,,128,196,170,356
2024_q1,,Foot - Bunionectomy,,Total,Provincial,2024,1,,,126,167
2024_q2,,Septoplasty,,Zone 4,Dartmouth General,2024,2,95,183,151,423
2023_q3,,Chest Scopes  (Adult),,Total,Provincial,2023,3,,,13,41
2024_q2,,Hernia Repair - Ventral,,Total,Provincial,2024,2,61,327,114,324
2023_q1,,Nerve or Brain Stimulation,,Zone 4,QE2,2023,1,,,50,71
12month_rolling,Thoracic Surgery,Lung Surgery,"Plourde, Madelaine M",,,,,36,121,29,62
2024_q4,,Hernia Repair  (Pediatric),,Total,Provincial,2024,4,64,153,71,204
2024_q2,,Whipple Procedures,,Total,Provincial,2024,2,13,19,18,29
12month_rolling,Orthopaedic,Back Surgery  (Adult),"Morash, Kevin",,,,,,,660,933
2025_q1,,Lung Cancer Surgery,,Total,Provincial,2025,1,27,81,29,60
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Corsten, Martin",,,,,13,56,36,216
12month_rolling,Oral Maxillofacial,Maxillofacial Deformity Surgery,"Brady, James",,,,,512,595,253,478
12month_rolling,Ophthalmology,Glaucoma (Eye Pressure Lowering Surgery),"Eadie, Brennan",,,,,27,244,25,56
2023_q3,,Back Surgery  (Pediatric),,IWK,IWK,2023,3,,,360,720
2024_q3,,Shoulder Arthroscopy,,Zone 1,Valley Regional,2024,3,107,229,100,258
2024_q1,,Endarterectomy,,Zone 4,QE2,2024,1,,,17,67
2024_q1,,Liver Surgery,,Zone 4,QE2,2024,1,15,53,16,74
2024_q2,,Hernia Repair  (Adult),,Zone 3,Glace Bay,2024,2,323,665,,
2023_q2,,Sacral Nerve Stimulation,,Zone 4,QE2,2023,2,,,100,188
2025_q1,,Lung Surgery,,Zone 4,QE2,2025,1,26,81,29,60
3month_rolling,,Bladder Cancer Surgery,,Total,Provincial,2025,1,35,156,32,97
2023_q1,,Cataract Surgery,,Zone 2,Cumberland Regional,2023,1,254,278,50,62
2025_q1,,Colorectal Cancer Surgery,,Zone 1,Valley Regional,2025,1,26,78,39,71
12month_rolling,Ophthalmology,Glaucoma (Eye Pressure Lowering Surgery),"Nicolela, Marcelo",,,,,42,160,23,94
2023_q3,,Knee Replacement,,Zone 2,Aberdeen Hospital,2023,3,222,378,43,167
3month_rolling,,Tonsillectomy and/or Adenoidectomy  (Adult),,Total,Provincial,2025,1,55,455,115,469
2023_q2,,Breast Reduction Surgery,,Zone 4,QE2,2023,2,"1,045","1,401",64,302
12month_rolling,,Bariatric Surgery (for Weight Loss),,Zone 4,QE2,2025,1,97,196,224,387
2024_q3,,Hysterectomy  (Cancer Not Suspected),,Zone 3,St. Martha's Regional,2024,3,313,"1,023",182,335
2024_q3,,Breast Cancer Surgery,,Zone 2,Aberdeen Hospital,2024,3,17,43,18,39
2025_q1,,Female Incontinence Surgery,,Zone 4,QE2,2025,1,,,105,193
12month_rolling,Orthopaedic,All,"Sequeira, Stanislaus",,,,,137,239,352,609
12month_rolling,Urology,Cystoscopy,"Himmelman, Jeffrey George",,,,,225,401,38,277
2024_q1,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 3,St. Martha's Regional,2024,1,100,159,,
12month_rolling,Ophthalmology,Cataract Surgery,"Gao, Jennifer",,,,,107,162,89,124
12month_rolling,,Bowel Resection - Open,,Zone 4,Dartmouth General,2025,1,37,392,36,115
2024_q1,,Prostate Surgery,,Total,Provincial,2024,1,38,190,78,392
3month_rolling,,Functional Endoscopic Sinus Surgery (FESS),,Zone 1,Valley Regional,2025,1,,,311,323
2024_q3,,Male Reproductive System Surgery,,IWK,IWK,2024,3,,,160,550
2023_q3,,Hysteroscopy,,Zone 2,Colchester East Hants Health Centre,2023,3,65,354,65,282
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Pierce, Marianne",,,,,40,154,54,105
2025_q1,,Gastric Surgery - Laparoscopic,,Zone 4,QE2,2025,1,107,314,50,337
12month_rolling,,Gastrointestinal Tract Surgery,,IWK,IWK,2025,1,56,91,52,127
2023_q2,,Vitreoretinal Diseases,,Zone 4,QE2,2023,2,34,236,15,98
2024_q1,,Gallbladder Surgery,,Zone 2,Cumberland Regional,2024,1,35,91,45,105
12month_rolling,Urology,Female Incontinence Surgery,"Puthenparumpil, Jacob",,,,,240,243,228,350
2024_q3,,Gastrointestinal Tract Surgery,,Zone 2,Aberdeen Hospital,2024,3,,,29,64
2024_q1,,Shoulder Arthroscopy,,Zone 4,Dartmouth General,2024,1,69,170,118,686
2024_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 1,South Shore Regional,2024,1,226,253,47,141
12month_rolling,Obstetrics/Gynaecology,All,"Okuboyejo, Fazil",,,,,52,314,45,115
12month_rolling,Plastic Surgery,Nerve Surgery,"Singh, Ashvir",,,,,34,74,153,183
12month_rolling,Orthopaedic,Hip Replacement,"Howatt, Jonathan",,,,,364,469,561,647
2024_q2,,Hip Replacement,,Total,Provincial,2024,2,161,409,129,537
2025_q1,,Prostatectomy,,Total,Provincial,2025,1,22,50,97,161
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Yaffe, Paul",,,,,22,78,36,61
2024_q3,,Hernia Repair - Inguinal/Femoral,,Zone 4,Hants Community Hospital,2024,3,231,262,30,113
12month_rolling,,Bowel Resection - Open,,Zone 4,QE2,2025,1,24,175,38,227
2024_q2,,Knee Scope,,Zone 3,Cape Breton Regional,2024,2,51,161,,
12month_rolling,,Laryngology and Vocal Cord Surgery,,Total,Provincial,2025,1,39,264,46,387
2025_q1,,Septoplasty,,Zone 3,St. Martha's Regional,2025,1,,,102,117
2024_q3,,Knee Replacement,,Total,Provincial,2024,3,202,577,137,444
2024_q2,,Breast Cancer Surgery,,Zone 1,Yarmouth Regional,2024,2,14,40,27,68
2023_q1,,Male Reproductive System Surgery,,IWK,IWK,2023,1,,,79,300
2024_q4,,Pancreas Surgery,,Total,Provincial,2024,4,16,29,30,69
2023_q3,,Nissen Fundoplication - Laparoscopic,,Total,Provincial,2023,3,72,476,170,486
2024_q3,,Prostatectomy,,Total,Provincial,2024,3,39,153,150,242
2024_q3,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 3,Cape Breton Regional,2024,3,73,225,,
2024_q2,,Dental Extractions and Restorations  (Adult),,Zone 4,QE2,2024,2,100,334,126,827
12month_rolling,Obstetrics/Gynaecology,All,"Parr, Grace",,,,,119,540,54,137
2023_q3,,Colorectal Cancer Surgery,,Zone 4,QE2,2023,3,20,238,29,63
2024_q3,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 4,Dartmouth General,2024,3,,,47,62
2023_q2,,Knee Scope with ACL Repair,,Zone 4,QE2,2023,2,134,204,130,278
2024_q3,,Male Reproductive System Surgery,,Zone 3,Cape Breton Regional,2024,3,40,159,36,192
2023_q1,,Gallbladder Surgery,,Zone 4,Hants Community Hospital,2023,1,84,122,56,179
2023_q4,,Hernia Repair  (Adult),,Zone 3,St. Martha's Regional,2023,4,14,93,179,357
12month_rolling,,Lacrimal Duct Probing,,Zone 4,QE2,2025,1,31,175,82,273
12month_rolling,General Surgery,Bowel Resection - Open,"Booth, John",,,,,60,73,25,36
2024_q1,,Hysteroscopy,,Zone 4,Dartmouth General,2024,1,32,120,49,157
2024_q1,,Strabismus Surgery  (Adult),,Total,Provincial,2024,1,136,498,78,140
2023_q4,,Video-Assisted Thoracic Surgery,,Total,Provincial,2023,4,27,64,37,97
2023_q3,,Colorectal Cancer Surgery,,Zone 3,Cape Breton Regional,2023,3,23,43,25,44
12month_rolling,Ophthalmology,All,"Zaki, Amr M",,,,,139,631,59,233
12month_rolling,General Surgery,All,"Watson-Jessome, Jane",,,,,94,280,37,117
3month_rolling,,Cataract Surgery,,Zone 1,Soldiers Memorial,2025,1,33,208,50,99
12month_rolling,Ophthalmology,All,"Dahrab, Mishari M",,,,,155,598,142,354
2023_q2,,Gastrointestinal Tract Surgery,,Total,Provincial,2023,2,27,158,44,188
2024_q3,,Spinal Cord Stimulation Surgery,,Zone 4,QE2,2024,3,,,92,120
2024_q3,,Wound Management,,Total,Provincial,2024,3,,,11,20
2024_q3,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2024,3,35,137,32,53
2024_q2,,Ear Tubes  (Pediatric),,Zone 1,Valley Regional,2024,2,67,173,64,182
3month_rolling,,Thyroid or Parathyroid Surgery,,Zone 2,Cumberland Regional,2025,1,56,242,97,141
12month_rolling,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,Dartmouth General,2025,1,15,103,32,86
2023_q3,,Glaucoma (Eye Pressure Lowering Surgery),,Total,Provincial,2023,3,41,504,30,117
2024_q2,,Bladder Cancer Surgery,,Zone 1,Yarmouth Regional,2024,2,,,48,175
2023_q3,,Hernia Repair - Inguinal/Femoral,,Zone 3,Cape Breton Regional,2023,3,183,622,44,583
2024_q3,,Kidney Stone Surgery,,Zone 1,Valley Regional,2024,3,,,44,167
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Frenette, Mary",,,,,141,241,126,282
2023_q3,,Gallbladder Surgery,,Zone 1,Yarmouth Regional,2023,3,13,48,56,123
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,Zone 1,South Shore Regional,2025,1,,,48,77
2023_q4,,Breast Reduction Surgery,,Total,Provincial,2023,4,91,"1,223",87,371
2024_q1,,Male Circumcision  (Adult),,Zone 4,Hants Community Hospital,2024,1,,,118,146
2024_q2,,Cervical Spine (Neck) Surgery,,Zone 4,QE2,2024,2,59,365,64,192
2024_q3,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2024,3,120,285,41,126
2024_q2,,Hernia Repair  (Adult),,Zone 2,Colchester East Hants Health Centre,2024,2,42,106,91,222
12month_rolling,Orthopaedic,All,"Wong, Ivan",,,,,49,399,189,629
2023_q1,,Hysteroscopy,,Zone 1,Valley Regional,2023,1,66,644,75,280
2024_q3,,Brain Surgery  (Pediatric),,Total,Provincial,2024,3,,,72,123
2024_q2,,Pilonidal Cyst Surgery,,Total,Provincial,2024,2,31,567,93,440
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Incisional,"Kelly, Ryan Patrick",,,,,542,950,94,239
2023_q1,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,Cape Breton Regional,2023,1,31,54,,
3month_rolling,,Hernia Repair  (Pediatric),,Total,Provincial,2025,1,73,102,45,141
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Kenyon, Chris",,,,,24,100,48,124
2023_q3,,Septoplasty,,Zone 4,Hants Community Hospital,2023,3,61,209,85,197
12month_rolling,General Surgery,Hernia Repair  (Adult),"McGibney, Kieron",,,,,65,126,105,194
2024_q4,,Endometrial Ablation,,Zone 2,Aberdeen Hospital,2024,4,,,55,103
2023_q2,,Osteotomy,,Total,Provincial,2023,2,,,60,278
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Wasserman, Lukas",,,,,28,238,34,48
12month_rolling,Urology,Prostatectomy,"Rendon, Ricardo",,,,,18,37,144,202
2023_q1,,Hand / Upper Extremity,,Zone 4,QE2,2023,1,202,329,98,503
2024_q4,,Insertion Vascular Access Catheter,,Total,Provincial,2024,4,13,52,13,71
2024_q2,,Shoulder Arthroplasty,,Total,Provincial,2024,2,97,519,203,628
2025_q1,,Carpal Tunnel Surgery,,Zone 3,St. Martha's Regional,2025,1,110,137,225,381
3month_rolling,,Hysterectomy  (Cancer Suspected or Proven),,Total,Provincial,2025,1,12,58,28,55
12month_rolling,Plastic Surgery,Aesthetic Surgery,"Nel, Corne",,,,,106,173,136,232
2023_q4,,Osteotomy,,Total,Provincial,2023,4,41,154,114,295
2023_q3,,Prostate Surgery - Laparoscopic,,Zone 4,QE2,2023,3,21,48,141,218
12month_rolling,,AV Fistula Creation/Closure,,Zone 4,QE2,2025,1,15,38,24,108
2024_q3,,Septoplasty,,Total,Provincial,2024,3,99,485,97,348
2023_q1,,Dental Extractions and Restorations  (Adult),,Zone 4,Dartmouth General,2023,1,,,63,77
2024_q4,,Lymph Node Biopsy,,Total,Provincial,2024,4,14,48,22,44
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Kelly, Ryan Patrick",,,,,389,434,326,898
2024_q1,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2024,1,,,50,76
12month_rolling,Urology,Bladder Cancer Surgery,"Puthenparumpil, Jacob",,,,,29,133,38,94
2023_q1,,Male Reproductive System Surgery,,Zone 4,Hants Community Hospital,2023,1,133,331,313,608
12month_rolling,Otolaryngology (ENT),Thyroid or Parathyroid Surgery,"Taylor, S. Mark",,,,,67,141,69,976
2025_q1,,Gallbladder Surgery,,Zone 3,Glace Bay,2025,1,189,531,,
12month_rolling,General Surgery,Bowel Resection,"Stoddart, Todd",,,,,23,182,28,57
2024_q2,,Foot - Arthrodesis,,Total,Provincial,2024,2,224,956,123,305
12month_rolling,,Hernia Repair - Umbilical,,IWK,IWK,2025,1,105,474,134,373
12month_rolling,Orthopaedic,Back Surgery  (Adult),"Glennie, Raymond Andrew",,,,,189,618,98,194
2024_q2,,Lacrimal Duct Probing,,Total,Provincial,2024,2,37,136,51,209
2025_q1,,Prostate Surgery,,Total,Provincial,2025,1,47,242,88,410
12month_rolling,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2025,1,52,364,57,353
12month_rolling,General Surgery,All,"Davies, Dafydd Alexander",,,,,69,422,52,204
2023_q2,,Prostate Surgery,,Zone 4,QE2,2023,2,54,115,88,331
2024_q2,,Bladder Cancer Surgery,,Zone 3,Northside General,2024,2,,,81,162
2024_q1,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 4,Dartmouth General,2024,1,114,343,178,244
2024_q2,,Vitreoretinal Diseases,,Zone 4,QE2,2024,2,44,240,22,85
12month_rolling,Orthopaedic,Hip Replacement,"O'Neill, Michelle E",,,,,170,224,96,144
2023_q1,,Bowel Resection - Laparoscopic,,Zone 1,Valley Regional,2023,1,15,33,43,115
12month_rolling,Orthopaedic,Carpal Tunnel Surgery,"Ferguson, Devin",,,,,82,143,105,214
2023_q4,,Prostate Surgery,,Zone 4,QE2,2023,4,58,214,88,324
12month_rolling,Orthopaedic,Orthopaedic Trauma,"Ferguson, Devin",,,,,46,73,34,97
2023_q4,,Ear Tubes  (Pediatric),,Zone 3,St. Martha's Regional,2023,4,52,121,47,106
2024_q1,,Septoplasty,,Zone 4,Dartmouth General,2024,1,46,102,210,381
12month_rolling,General Surgery,Gastric Surgery,"Knapp, Gregory",,,,,15,27,32,77
12month_rolling,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,QE2,2025,1,27,209,41,258
2024_q2,,Breast Cancer Surgery,,Zone 3,St. Martha's Regional,2024,2,7,19,34,54
12month_rolling,Urology,All,"McGregor, Thomas",,,,,32,117,41,118
2024_q2,,Endarterectomy,,Total,Provincial,2024,2,,,18,115
2024_q4,,Ear Tubes  (Adult),,Total,Provincial,2024,4,274,"2,509",57,118
2024_q1,,Male Reproductive System Surgery,,Total,Provincial,2024,1,75,331,88,483
12month_rolling,Ophthalmology,All,"Koetsie, Karen",,,,,57,93,78,203
12month_rolling,Orthopaedic,Osteotomy,"Orlik, Benjamin",,,,,50,98,268,439
2023_q4,,Kidney Removal,,Zone 1,Valley Regional,2023,4,,,64,72
3month_rolling,,Hysterectomy  (Cancer Suspected or Proven),,Zone 2,Colchester East Hants Health Centre,2025,1,,,34,75
2024_q4,,Hernia Repair - Inguinal/Femoral,,Zone 1,South Shore Regional,2024,4,56,139,27,110
2024_q1,,Hernia Repair - Inguinal/Femoral,,Zone 2,Colchester East Hants Health Centre,2024,1,44,112,55,182
2023_q2,,Bladder Surgery,,Zone 4,QE2,2023,2,11,31,49,87
3month_rolling,,Lung Cancer Surgery,,Total,Provincial,2025,1,27,81,29,60
2023_q4,,Endarterectomy,,Total,Provincial,2023,4,,,52,129
2024_q2,,Hemorrhoidectomy,,Zone 4,Dartmouth General,2024,2,,,128,428
2024_q3,,Cornea and External Disease,,Zone 4,QE2,2024,3,56,232,206,428
3month_rolling,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 3,Cape Breton Regional,2025,1,43,377,97,132
12month_rolling,General Surgery,Breast Cancer Surgery,"King, Jenelle",,,,,8,22,13,33
2023_q4,,Bladder Surgery,,Zone 4,QE2,2023,4,25,40,30,64
12month_rolling,Orthopaedic,Shoulder Arthroplasty,"Hamilton, Christopher",,,,,328,394,93,135
12month_rolling,General Surgery,Bowel Resection,"Yaffe, Paul",,,,,26,117,44,64
2023_q3,,Hernia Repair - Laparoscopic Inguinal Femoral,,Total,Provincial,2023,3,56,462,85,230
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Hossain, Farisa",,,,,35,106,102,185
2023_q2,,Lymph Node Biopsy,,Zone 4,QE2,2023,2,8,22,13,92
2024_q3,,Surgery for Hearing or Balance Problems of the Ear,,Total,Provincial,2024,3,125,365,94,273
12month_rolling,Plastic Surgery,Melanoma Excision,"LeBlanc, Martin",,,,,8,22,20,27
